年份,省份,城市,省份代码,城市代码,胡焕庸线,地区生产总值(万元),人均地区生产总值(元),户籍人口(万人),城镇非私营单位从业人员数(万人),城镇私营和个体从业人员数(人),年末城镇登记失业人员数(人),城镇非私营单位在岗职工平均人数(万人),城镇非私营单位在岗职工工资总额(万元),城镇非私营单位在岗职工平均工资(元)
2013,河南省,三门峡市,410000,411200,东南侧,11920868,52515,226.8,27.9,143900,7526,26,1109000,42934.57
2014,河南省,三门峡市,410000,411200,东南侧,12400597,55259,227.8,28.532,143916,7484,27,1199436,44357.84
2015,河南省,三门峡市,410000,411200,东南侧,12510383,55681,228.27,27.36,143552,8052,26,1172807,44573
2016,河南省,三门峡市,410000,411200,东南侧,13258631,58894,229,25.068,207449,8369,24,1108273,46479
2017,河南省,三门峡市,410000,411200,东南侧,14474200,63977,228,23.218,237000,7956,22,1278553,57207
2018,河南省,三门峡市,410000,411200,东南侧,15281244,67294,227,21.35,276333,8829,20,1320636,64578
2019,河南省,三门峡市,410000,411200,东南侧,14440000,63473,227,20.95,319483,8842,20,1293861,66132
2020,河南省,三门峡市,410000,411200,东南侧,14510000,71541,,19.66,,,18,1270649,69767
2021,河南省,三门峡市,410000,411200,东南侧,15830000,77701,226,19.926,,,18,1432480,77521
2022,河南省,三门峡市,410000,411200,东南侧,16760000,82276,225,19.137,,,18,1464993,
2023,河南省,三门峡市,410000,411200,东南侧,16200000,79875,,,,,,,
2024,河南省,三门峡市,410000,411200,东南侧,16190000,80392,,,,,,,
2000,河南省,南阳市,410000,411300,东南侧,5196645,,1040.29,67.08,,26675,66,406236,6165
2001,河南省,南阳市,410000,411300,东南侧,5762789,5537,1041.4,65.56,,26013,65,440319,6803.45
2002,河南省,南阳市,410000,411300,东南侧,6250672,5984,1047.76,66.16,195088,27148,65,495996,7614.31
2003,河南省,南阳市,410000,411300,东南侧,7241573,6814,1054.38,65.66,262249,27811,63,551114,8774.3
2004,河南省,南阳市,410000,411300,东南侧,8933215,8370,1065.58,65.23,164796,30249,62,643331,10393.07
2005,河南省,南阳市,410000,411300,东南侧,10534299,9826,1079.14,65.16,178007,33085,62,736571,11819.18
2006,河南省,南阳市,410000,411300,东南侧,12030522,11033,1101.78,68.48,346600,35601,65,873877,13435.99
2007,河南省,南阳市,410000,411300,东南侧,13763321,13814,1126.71,69.79,384729,38328,66,1059675,16007.18
2008,河南省,南阳市,410000,411300,东南侧,16364296,16367,1147.61,69.29,335600,45431,68,1206299,17847.3
2009,河南省,南阳市,410000,411300,东南侧,17144914,16997,1167.51,69.74,335600,39114,68,1410318,20804.22
2010,河南省,南阳市,410000,411300,东南侧,19533562,19145,1186.69,70.48,442098,37047,69,1601027,23308.01
2011,河南省,南阳市,410000,411300,东南侧,22023132,21590,1200.9,84.37,496260,40114,78,2069256,26535.73
2012,河南省,南阳市,410000,411300,东南侧,23407260,23086,1206.3,83.5,526250,38044,76,2302789,30448.09
2013,河南省,南阳市,410000,411300,东南侧,24992201,21343,1171,88.1,491281,37640,81,2924272,36097.67
2014,河南省,南阳市,410000,411300,东南侧,26755709,26651,1181.4,93.91,496763,37640,80,3281415,41172.08
2015,河南省,南阳市,410000,411300,东南侧,28668156,28653,1188.5,95.94,552771,35876,95,3892411,43082
2016,河南省,南阳市,410000,411300,东南侧,31149653,31010,1195,94.683,690855,36070,89,4236818,47468
2017,河南省,南阳市,410000,411300,东南侧,33453000,33255,1200,89.411,843857,36070,84,4332165,51871
2018,河南省,南阳市,410000,411300,东南侧,35667734,35519,1238,77.4,866388,38417,71,4082965,57453
2019,河南省,南阳市,410000,411300,东南侧,38150000,38064,1239,71.064,783938,39221,66,2835578,58160
2020,河南省,南阳市,410000,411300,东南侧,39260000,40315,,67.474,,,64,3882142,61104
2021,河南省,南阳市,410000,411300,东南侧,43420000,44894,1231,64.916,,,61,3942139,64850
2022,河南省,南阳市,410000,411300,东南侧,45550000,47344,1230,64.534,,,61,4125232,
2023,河南省,南阳市,410000,411300,东南侧,45720000,47846,,,,,,,
2024,河南省,南阳市,410000,411300,东南侧,48790000,51492,,,,,,,
2000,河南省,商丘市,410000,411400,东南侧,2850119,,799.88,41.25,,11837,40,202632,5098
2001,河南省,商丘市,410000,411400,东南侧,3183780,3945,814.34,39.66,,9864,39,217827,5566.75
2002,河南省,商丘市,410000,411400,东南侧,3427291,4191,821.35,38.15,83382,18201,37,229750,6164.48
2003,河南省,商丘市,410000,411400,东南侧,3397493,4200,831.02,38.84,142517,21654,38,259598,6920.77
2004,河南省,商丘市,410000,411400,东南侧,4558370,5613,838.68,38.65,79950,23999,37,331935,8858.69
2005,河南省,商丘市,410000,411400,东南侧,5607773,6879,855.59,39.08,89858,24156,38,384762,10197.77
2006,河南省,商丘市,410000,411400,东南侧,6509783,7520,875.71,38.34,105600,24736,37,461619,12349.36
2007,河南省,商丘市,410000,411400,东南侧,7656721,10014,889.71,37.51,110608,20025,37,617876,16877.25
2008,河南省,商丘市,410000,411400,东南侧,9313905,12092,901.11,38.15,270400,23692,37,694556,18771.78
2009,河南省,商丘市,410000,411400,东南侧,9955475,12779,910.87,38.51,103604,25425,37,809183,21653.28
2010,河南省,商丘市,410000,411400,东南侧,11437913,15085,918.01,39.72,197905,25218,38,933229,24258.62
2011,河南省,商丘市,410000,411400,东南侧,13083722,17779,926.8,41.99,212661,26579,41,1072883,26193.43
2012,河南省,商丘市,410000,411400,东南侧,13972750,19029,934.1,45.8,249667,24226,41,1268852,30924.98
2013,河南省,商丘市,410000,411400,东南侧,15382197,16312,942.6,55.5,279270,27609,49,1801279,36656.06
2014,河南省,商丘市,410000,411400,东南侧,16976370,23359,949.7,62.461,558096,26321,55,2424404,44168.41
2015,河南省,商丘市,410000,411400,东南侧,18121623,24940,961.09,70.204,613515,27010,61,2692527,43845
2016,河南省,商丘市,410000,411400,东南侧,19891538,27332,977,77.084,654430,28334,67,3212510,47508
2017,河南省,商丘市,410000,411400,东南侧,21955500,30117,987,82.306,703641,25686,73,3835784,52542
2018,河南省,商丘市,410000,411400,东南侧,23890346,32673,999,69.167,763745,24589,63,3633974,57679
2019,河南省,商丘市,410000,411400,东南侧,29110000,39719,1005,68.23,1165577,22564,63,3755312,59769
2020,河南省,商丘市,410000,411400,东南侧,29260000,37443,,65.898,,,60,3725829,60509
2021,河南省,商丘市,410000,411400,东南侧,30830000,39678,1012,58.442,,,56,3542201,63359
2022,河南省,商丘市,410000,411400,东南侧,32630000,42227,1014,53.064,,,52,3472489,
2023,河南省,商丘市,410000,411400,东南侧,31090000,40403,,,,,,,
2024,河南省,商丘市,410000,411400,东南侧,32720000,42808,,,,,,,
2000,河南省,信阳市,410000,411500,东南侧,2610514,,770.87,40.26,,13757,39,225259,5788
2001,河南省,信阳市,410000,411500,东南侧,2636800,3410,775.8,39.87,,14010,39,247498,6321.79
2002,河南省,信阳市,410000,411500,东南侧,3119211,4009,780.59,40.03,185093,14681,39,277291,7110.03
2003,河南省,信阳市,410000,411500,东南侧,3471173,4462,785.7,39.73,217682,13930,38,308235,8217.41
2004,河南省,信阳市,410000,411500,东南侧,4342689,5553,794.85,39.44,127653,17186,38,338475,8837.47
2005,河南省,信阳市,410000,411500,东南侧,5085635,6476,803.79,39.91,123220,17453,39,391673,10115.52
2006,河南省,信阳市,410000,411500,东南侧,5883499,7258,817.38,40.76,248100,17623,40,492063,12447.84
2007,河南省,信阳市,410000,411500,东南侧,6990260,10539,834.96,42.6,109354,14635,41,627443,15166.62
2008,河南省,信阳市,410000,411500,东南侧,8667899,13015,845.21,41.95,273300,14442,41,758634,18413.45
2009,河南省,信阳市,410000,411500,东南侧,9289974,13780,860.99,41.93,365720,15986,42,895508,21408.27
2010,河南省,信阳市,410000,411500,东南侧,10918323,16936,870.22,43.19,250833,10355,42,1045063,24705.98
2011,河南省,信阳市,410000,411500,东南侧,12576828,20603,876.6,43.82,365923,9247,44,1173390,26832.61
2012,河南省,信阳市,410000,411500,东南侧,13973205,22347,855.2,46.2,414714,8682,45,1375754,30491
2013,河南省,信阳市,410000,411500,东南侧,15811632,18386,859.8,60.7,376000,9154,55,1894683,34398.75
2014,河南省,信阳市,410000,411500,东南侧,17573375,27490,890.4,62.153,411000,9439,56,2224924,39808.98
2015,河南省,信阳市,410000,411500,东南侧,18777440,30157,897.96,63.111,409667,8018,59,2064397,40975
2016,河南省,信阳市,410000,411500,东南侧,20378010,31733,908,63.165,354187,7049,58,2648285,45413
2017,河南省,信阳市,410000,411500,东南侧,21945100,34025,911,61.948,438917,6879,58,2883456,50013
2018,河南省,信阳市,410000,411500,东南侧,23877965,36941,912,52.607,643887,7945,58,2883456,50013
2019,河南省,信阳市,410000,411500,东南侧,27580000,42641,912,52.658,435235,13194,48,2923929,60507
2020,河南省,信阳市,410000,411500,东南侧,28050000,44922,,52.53,,,49,3055891,62036
2021,河南省,信阳市,410000,411500,东南侧,30650000,49345,910,48.263,,,45,2950048,64968
2022,河南省,信阳市,410000,411500,东南侧,31960000,51752,906,47.903,,,46,3012114,
2023,河南省,信阳市,410000,411500,东南侧,29590000,48459,,,,,,,
2024,河南省,信阳市,410000,411500,东南侧,30730000,51010,,,,,,,
2000,河南省,周口市,410000,411600,东南侧,3414728,,1043.84,49.05,,8920,47,229507,4840
2001,河南省,周口市,410000,411600,东南侧,3734029,3559,1054.23,49.22,,7539,47,244723,5179.32
2002,河南省,周口市,410000,411600,东南侧,4135687,3900,1066.57,47.03,118300,10870,46,272518,5919.16
2003,河南省,周口市,410000,411600,东南侧,4034625,3817,1074.68,47.36,201572,10260,45,287989,6330.82
2004,河南省,周口市,410000,411600,东南侧,5219821,4912,1094.37,45.48,141911,16812,43,312886,7202.72
2005,河南省,周口市,410000,411600,东南侧,5954976,5579,1112.51,44.38,260885,22063,43,347089,8051.25
2006,河南省,周口市,410000,411600,东南侧,6777441,6043,1130.4,43.99,283395,24755,43,395010,9235.68
2007,河南省,周口市,410000,411600,东南侧,7985380,8051,1166.72,44.11,293875,26343,44,547613,12562.81
2008,河南省,周口市,410000,411600,东南侧,9841251,9905,1188.08,43.55,347900,31569,43,715951,16723.92
2009,河南省,周口市,410000,411600,东南侧,10653712,10649,1206.76,44.38,263456,37466,44,894288,20548.9
2010,河南省,周口市,410000,411600,东南侧,12283024,12944,1224.35,45.22,515980,31675,45,1056856,23376.6
2011,河南省,周口市,410000,411600,东南侧,14074894,15734,1238.5,46.08,535193,30209,44,1208918,27227.88
2012,河南省,周口市,410000,411600,东南侧,15747181,17734,1229.2,47.5,470831,35872,46,1486161,32091.58
2013,河南省,周口市,410000,411600,东南侧,17906548,15832,1130.8,66.2,466803,35629,63,2309812,36536.1
2014,河南省,周口市,410000,411600,东南侧,19920815,22651,1236.9,68.93,507762,32985,65,2571244,39490.77
2015,河南省,周口市,410000,411600,东南侧,20896975,23728,1244.35,70.399,498933,36101,67,2839149,42666
2016,河南省,周口市,410000,411600,东南侧,22638615,25682,1259,72.495,518890,34324,70,3245121,46355
2017,河南省,周口市,410000,411600,东南侧,24597000,27978,1258,69.066,660367,29281,66,3329775,50259
2018,河南省,周口市,410000,411600,东南侧,26872100,30817,1259,59.929,833260,28758,58,3210156,55539
2019,河南省,周口市,410000,411600,东南侧,31980000,36891,1257,63.588,1054605,29247,61,3469441,56667
2020,河南省,周口市,410000,411600,东南侧,32670000,36214,,62.423,,,59,3413757,57587
2021,河南省,周口市,410000,411600,东南侧,34960000,39126,1258,58.63,,,56,3293211,58981
2022,河南省,周口市,410000,411600,东南侧,36170000,40951,1257,55.128,,,53,3224353,
2023,河南省,周口市,410000,411600,东南侧,33330000,38134,,,,,,,
2024,河南省,周口市,410000,411600,东南侧,36360000,42038,,,,,,,
2000,河南省,驻马店市,410000,411700,东南侧,2800835,,810.42,34.73,,10929,34,191507,5691
2001,河南省,驻马店市,410000,411700,东南侧,3056202,3757,816.62,34.25,,11615,34,207680,6126.25
2002,河南省,驻马店市,410000,411700,东南侧,3316976,4050,821.19,34.11,79438,12007,34,231565,6883.62
2003,河南省,驻马店市,410000,411700,东南侧,3457143,4197,826.31,34.27,64090,13057,33,255196,7759.08
2004,河南省,驻马店市,410000,411700,东南侧,4458303,5381,833.99,34.44,91191,13491,33,281900,8552.79
2005,河南省,驻马店市,410000,411700,东南侧,5003555,6010,839.39,34.45,101472,15590,33,310276,9494.37
2006,河南省,驻马店市,410000,411700,东南侧,5719231,6769,850.4,35.18,190586,15579,34,371118,11032.05
2007,河南省,驻马店市,410000,411700,东南侧,6674772,8665,858.79,35.52,202713,13608,34,477140,14133.29
2008,河南省,驻马店市,410000,411700,东南侧,8129755,10610,865.18,37.22,294500,15529,36,608230,16965.97
2009,河南省,驻马店市,410000,411700,东南侧,9005247,11708,873.13,38.75,281110,20561,37,708598,18997.27
2010,河南省,驻马店市,410000,411700,东南侧,10537118,14117,886.1,41.16,308720,15033,40,851449,21490.38
2011,河南省,驻马店市,410000,411700,东南侧,12447731,17396,892.1,44.79,368432,15781,44,1082401,24877.06
2012,河南省,驻马店市,410000,411700,东南侧,13735463,19592,899.2,46.5,362843,16041,44,1281019,29193.69
2013,河南省,驻马店市,410000,411700,东南侧,15420210,17210,896,61.8,483737,11799,56,1811176,32336.66
2014,河南省,驻马店市,410000,411700,东南侧,16912964,24461,920.6,69.08,380697,14419,60,2193765,36362.75
2015,河南省,驻马店市,410000,411700,东南侧,18070960,27001,930.88,73.648,461666,15064,64,2531442,37680
2016,河南省,驻马店市,410000,411700,东南侧,19729881,28305,949,71.578,283114,15900,65,2903216,44830
2017,河南省,驻马店市,410000,411700,东南侧,21750400,31102,961,74.665,694046,12675,65,3242915,49801
2018,河南省,驻马店市,410000,411700,东南侧,23703300,33770,964,65.018,756359,16643,53,2965575,55723
2019,河南省,驻马店市,410000,411700,东南侧,27420000,38943,964,59.058,722259,18332,54,3209108,59291
2020,河南省,驻马店市,410000,411700,东南侧,28590000,40710,,57.895,,,53,3222108,60574
2021,河南省,驻马店市,410000,411700,东南侧,30830000,44266,967,53.372,,,51,3229215,63456
2022,河南省,驻马店市,410000,411700,东南侧,32570000,47136,966,50.387,,,48,3105931,
2023,河南省,驻马店市,410000,411700,东南侧,30970000,45333,,,,,,,
2024,河南省,驻马店市,410000,411700,东南侧,33430000,49610,,,,,,,
2000,湖北省,武汉市,420000,420100,东南侧,12068363,,749.19,141.01,,99600,139,1348970,9727
2001,湖北省,武汉市,420000,420100,东南侧,13478027,17882,758.23,138.92,,146700,137,1551442,11314.48
2002,湖北省,武汉市,420000,420100,东南侧,14927435,19792,768.1,136.09,997300,139300,137,1774025,12970.86
2003,湖北省,武汉市,420000,420100,东南侧,16621797,21457,781.19,140.14,1068400,119900,136,1868350,13729.79
2004,湖北省,武汉市,420000,420100,东南侧,19560000,24963,785.9,141.26,1228641,111700,136,2176843,15970.97
2005,湖北省,武汉市,420000,420100,东南侧,22380000,26238,801.36,148.53,1243700,112200,137,2540734,18504.98
2006,湖北省,武汉市,420000,420100,东南侧,25907569,29899,818.84,153.89,1317300,111700,146,3017343,20632.82
2007,湖北省,武汉市,420000,420100,东南侧,31419048,35582,828.21,159.58,991723,111900,146,3671800,25135.54
2008,湖北省,武汉市,420000,420100,东南侧,39600819,44290,833.24,170.45,1123400,111900,155,4406000,28431.31
2009,湖北省,武汉市,420000,420100,东南侧,46208600,51144,835.55,175.74,1285600,111200,,,
2010,湖北省,武汉市,420000,420100,东南侧,55659300,58961,836.73,178.46,1589421,109465,190,7452870,39302.17
2011,湖北省,武汉市,420000,420100,东南侧,67622000,68315,827.2,189.77,2079306,104611,196,8947979,45643.64
2012,湖北省,武汉市,420000,420100,东南侧,80038200,79482,821.7,191.9,2008200,101108,175,8570674,48941.72
2013,湖北省,武汉市,420000,420100,东南侧,90512700,110113,822.1,198.5,2122500,93125,184,9877794,53745
2014,湖北省,武汉市,420000,420100,东南侧,100694800,98000,827.3,202.344,2155600,101500,189,11428321,60624.48
2015,湖北省,武汉市,420000,420100,东南侧,109056000,104132,829.27,207.277,2372521,99077,195,12817375,65720
2016,湖北省,武汉市,420000,420100,东南侧,119126100,111469,834,213.259,2240900,110600,198,14232713,71963
2017,湖北省,武汉市,420000,420100,东南侧,134103400,123831,854,219.903,2284000,125500,201,16042574,79684
2018,湖北省,武汉市,420000,420100,东南侧,148472900,135136,884,209.774,2461100,81900,193,17044922,88327
2019,湖北省,武汉市,420000,420100,东南侧,162230000,145545,906,214.422,2595600,88100,199,19521297,98043
2020,湖北省,武汉市,420000,420100,东南侧,156160000,131441,,176.356,,,164,17659308,107567
2021,湖北省,武汉市,420000,420100,东南侧,177170000,135251,934,187.718,,,174,21105148,121608
2022,湖北省,武汉市,420000,420100,东南侧,188660000,137772,944,187.406,,,174,22401436,
2023,湖北省,武汉市,420000,420100,东南侧,200120000,145471,,,,,,,
2024,湖北省,武汉市,420000,420100,东南侧,211060000,153037,,,,,,,
2000,湖北省,黄石市,420000,420200,东南侧,2007512,,247.82,28.09,,13764,28,191690,6898
2001,湖北省,黄石市,420000,420200,东南侧,2226200,8843,252.65,26.03,,13480,25,205130,8104.7
2002,湖北省,黄石市,420000,420200,东南侧,2454500,9702,253.32,26.09,211451,16664,25,223283,9017.89
2003,湖北省,黄石市,420000,420200,东南侧,2736400,10932,253.81,27.36,215611,18920,27,280736,10378.41
2004,湖北省,黄石市,420000,420200,东南侧,3169800,12461,254.92,28.48,239210,23720,28,317179,11271.46
2005,湖北省,黄石市,420000,420200,东南侧,3432100,13537,252.13,29.91,246139,35002,29,364383,12398.2
2006,湖北省,黄石市,420000,420200,东南侧,4010300,15838,254.36,30.37,241205,34852,30,413112,13821.08
2007,湖北省,黄石市,420000,420200,东南侧,4666800,19409,255.39,31.1,242413,32900,31,489222,15920.01
2008,湖北省,黄石市,420000,420200,东南侧,5565700,22980,257.31,31.15,248858,36723,31,534792,17374.66
2009,湖北省,黄石市,420000,420200,东南侧,5715900,23560,258.56,32.97,297000,35395,32,553744,17272.11
2010,湖北省,黄石市,420000,420200,东南侧,6901200,28427,260.14,43.85,204776,34711,43,1022241,23662.99
2011,湖北省,黄石市,420000,420200,东南侧,9259600,38074,260.1,31.68,357000,33461,46,1255325,26996.24
2012,湖北省,黄石市,420000,420200,东南侧,10409500,42703,261.5,32.1,361000,27483,48,1437810,30079.71
2013,湖北省,黄石市,420000,420200,东南侧,11420300,43589,262.3,33.4,362500,18100,49,1631566,33550.61
2014,湖北省,黄石市,420000,420200,东南侧,12185600,49796,265.1,33.37,362300,18836,47,1778201,37514.79
2015,湖北省,黄石市,420000,420200,东南侧,12281000,50053,267.97,32.076,362700,19245,46,1914462,41655
2016,湖北省,黄石市,420000,420200,东南侧,13055500,53033,270,30.741,360800,19621,46,2057881,44549
2017,湖北省,黄石市,420000,420200,东南侧,14794000,59943,271,30.726,690340,23455,46,2240972,48801
2018,湖北省,黄石市,420000,420200,东南侧,15873300,64249,273,29.976,858646,26554,46,2522946,54437
2019,湖北省,黄石市,420000,420200,东南侧,17670000,71511,273,29.974,914538,27144,46,2556960,56185
2020,湖北省,黄石市,420000,420200,东南侧,16410000,66446,,28.847,,,25,1873155,73486
2021,湖北省,黄石市,420000,420200,东南侧,18660000,75943,273,27.982,,,25,1940377,78241
2022,湖北省,黄石市,420000,420200,东南侧,20420000,83526,273,27.508,,,24,1982679,
2023,湖北省,黄石市,420000,420200,东南侧,21090000,86371,,,,,,,
2024,湖北省,黄石市,420000,420200,东南侧,23060000,94601,,,,,,,
2000,湖北省,十堰市,420000,420300,东南侧,1785023,,340.82,33.46,,14510,33,252510,7590
2001,湖北省,十堰市,420000,420300,东南侧,2017700,5951,337.26,30.68,,16190,30,286572,9405.05
2002,湖北省,十堰市,420000,420300,东南侧,2315200,6850,338.66,29.66,87300,18371,30,349216,11699.03
2003,湖北省,十堰市,420000,420300,东南侧,2423400,7052,340.64,29.59,169909,18375,29,397883,13849.04
2004,湖北省,十堰市,420000,420300,东南侧,2909600,8513,341.79,29.17,192098,21000,28,403312,14388.58
2005,湖北省,十堰市,420000,420300,东南侧,3066300,8922,343.68,28.81,218939,23887,27,446068,16315.58
2006,湖北省,十堰市,420000,420300,东南侧,3381500,9759,346.5,28.52,213000,24201,27,469718,17313.6
2007,湖北省,十堰市,420000,420300,东南侧,4114200,12745,348.86,32.96,223464,24834,31,588952,19159.14
2008,湖北省,十堰市,420000,420300,东南侧,4876426,13892,351.03,39.37,278178,24317,38,721633,19182.16
2009,湖北省,十堰市,420000,420300,东南侧,5509600,17015,353.22,40.17,310593,24533,38,806507,20991.85
2010,湖北省,十堰市,420000,420300,东南侧,7367800,21267,353.19,43.26,310593,29238,43,1069612,24725.2
2011,湖北省,十堰市,420000,420300,东南侧,8512500,25427,348.4,47.78,339168,29467,48,1364425,28556.4
2012,湖北省,十堰市,420000,420300,东南侧,9556800,28471,346,55.1,487570,27405,52,1640618,31501.88
2013,湖北省,十堰市,420000,420300,东南侧,10805900,31141,346.7,60.9,596017,29310,56,1952021,34926.12
2014,湖北省,十堰市,420000,420300,东南侧,12008200,35604,347,62.4,682714,32132,59,2332800,39378.8
2015,湖北省,十堰市,420000,420300,东南侧,13001200,38431,345.94,64.098,656535,32541,59,2515729,42676
2016,湖北省,十堰市,420000,420300,东南侧,14291500,42083,348,66.316,663100,32055,61,2801205,46056
2017,湖北省,十堰市,420000,420300,东南侧,16323200,47820,346,67.952,507093,32284,63,3117280,49733
2018,湖北省,十堰市,420000,420300,东南侧,17478200,51226,347,68.829,587713,36764,63,3395189,53608
2019,湖北省,十堰市,420000,420300,东南侧,20130000,59163,346,69.307,580268,39428,64,3717193,58138
2020,湖北省,十堰市,420000,420300,东南侧,19150000,58304,,70.176,,,33,2634093,80481
2021,湖北省,十堰市,420000,420300,东南侧,21640000,67973,340,,,,34,2924421,86981
2022,湖北省,十堰市,420000,420300,东南侧,23050000,72882,339,36.214,,,34,3073910,
2023,湖北省,十堰市,420000,420300,东南侧,23590000,74660,,,,,,,
2024,湖北省,十堰市,420000,420300,东南侧,25660000,81515,,,,,,,
2000,湖北省,宜昌市,420000,420500,东南侧,3794924,,397.49,38.31,,20393,39,309977,7906
2001,湖北省,宜昌市,420000,420500,东南侧,4103443,10323,397.51,36.63,,24116,36,320339,8776.41
2002,湖北省,宜昌市,420000,420500,东南侧,4440603,11174,397.27,37.03,123994,25431,37,340852,9300.19
2003,湖北省,宜昌市,420000,420500,东南侧,4913566,11891,396.89,37.32,156009,27246,36,363176,9971.88
2004,湖北省,宜昌市,420000,420500,东南侧,5886758,14802,398.52,38.1,158726,26936,37,393417,10635.77
2005,湖北省,宜昌市,420000,420500,东南侧,6080600,15253,398.78,39.91,214151,28554,38,452038,11824.17
2006,湖北省,宜昌市,420000,420500,东南侧,6949100,17190,400.23,41.73,280081,28430,40,506350,12731.96
2007,湖北省,宜昌市,420000,420500,东南侧,8209000,20355,401.46,33.85,284730,28173,33,595435,18186.77
2008,湖北省,宜昌市,420000,420500,东南侧,10265600,25445,400.83,34.53,304927,30477,34,671698,19744.21
2009,湖北省,宜昌市,420000,420500,东南侧,12723300,31476,401.37,51.1,496458,28906,51,982452,19332
2010,湖北省,宜昌市,420000,420500,东南侧,15473200,38181,398.55,55.73,557800,22986,54,1226490,22670.79
2011,湖北省,宜昌市,420000,420500,东南侧,21406900,52673,398.8,65.64,670800,22858,62,1618417,25977.8
2012,湖北省,宜昌市,420000,420500,东南侧,25088900,61517,399,70,659796,23184,69,1974335,28696.73
2013,湖北省,宜昌市,420000,420500,东南侧,28180700,70452,400.1,85,1592194,23531,82,2717395,33030.21
2014,湖北省,宜昌市,420000,420500,东南侧,31322100,76369,400.4,87.78,1876500,17673,85,3370840,39475.82
2015,湖北省,宜昌市,420000,420500,东南侧,33848000,82360,398.18,93.44,1689300,19430,93,4022548,43282
2016,湖北省,宜昌市,420000,420500,东南侧,37093600,89978,394,94.258,938543,23896,94,4420237,47193
2017,湖北省,宜昌市,420000,420500,东南侧,38571700,93331,392,87.662,988134,25858,86,4344274,50498
2018,湖北省,宜昌市,420000,420500,东南侧,40641800,98269,392,87.722,1094405,29577,85,4648987,54870
2019,湖北省,宜昌市,420000,420500,东南侧,44610000,107830,391,83.401,1106421,29577,81,4871276,60135
2020,湖北省,宜昌市,420000,420500,东南侧,42610000,104807,,82.29,,,41,3350293,81053
2021,湖北省,宜昌市,420000,420500,东南侧,50230000,127091,388,,,,42,3701323,89158
2022,湖北省,宜昌市,420000,420500,东南侧,55030000,140552,387,46.854,,,43,4023338,
2023,湖北省,宜昌市,420000,420500,东南侧,57560000,146771,,,,,,,
2024,湖北省,宜昌市,420000,420500,东南侧,61910000,157725,,,,,,,
2000,湖北省,襄阳市,420000,420600,东南侧,4152925,,572.56,52.75,,27997,53,326122,6143
2001,湖北省,襄阳市,420000,420600,东南侧,4502000,7840,575.96,49.87,,31190,50,331163,6610.04
2002,湖北省,襄阳市,420000,420600,东南侧,4566200,7918,577.38,46.57,417928,51820,47,351353,7499.53
2003,湖北省,襄阳市,420000,420600,东南侧,5033100,8708,578.54,44.17,430200,39600,44,374011,8461.79
2004,湖北省,襄阳市,420000,420600,东南侧,5578800,9641,578.77,42.92,393461,39908,42,388719,9167.9
2005,湖北省,襄阳市,420000,420600,东南侧,5714700,9900,577.22,41.44,353136,39464,41,415715,10196.59
2006,湖北省,襄阳市,420000,420600,东南侧,6751838,11681,578.8,41.16,294115,39924,40,456378,11279.73
2007,湖北省,襄阳市,420000,420600,东南侧,7854500,14478,582,42.81,296988,40221,33,514512,15381.52
2008,湖北省,襄阳市,420000,420600,东南侧,10024600,18458,584.38,44.51,297134,41044,34,607967,17907.72
2009,湖北省,襄阳市,420000,420600,东南侧,12010100,22071,588.88,44.32,385349,41292,34,680947,20290.44
2010,湖北省,襄阳市,420000,420600,东南侧,15382700,27969,591.07,46.53,433698,41822,39,942488,24442.12
2011,湖北省,襄阳市,420000,420600,东南侧,21322200,38671,593.6,52.68,537902,36292,63,1616995,25768.84
2012,湖北省,襄阳市,420000,420600,东南侧,25019600,45167,594,70.6,588243,38705,70,2025537,29119.28
2013,湖北省,襄阳市,420000,420600,东南侧,28140200,47294,595.1,84.9,631774,41801,78,2224215,28493.66
2014,湖北省,襄阳市,420000,420600,东南侧,31292600,55924,595.5,96.346,649111,38919,65,2816859,43470.05
2015,湖北省,襄阳市,420000,420600,东南侧,33821200,60319,591.58,99.228,344695,35586,58,2798963,48022
2016,湖北省,襄阳市,420000,420600,东南侧,36945100,65663,594,100.995,368813,32461,56,3150869,50677
2017,湖北省,襄阳市,420000,420600,东南侧,40649000,71990,592,101.496,420096,33961,52,3069059,58706
2018,湖北省,襄阳市,420000,420600,东南侧,43097900,76125,592,104.529,493334,36220,51,3454106,67488
2019,湖北省,襄阳市,420000,420600,东南侧,48130000,84815,590,111.48,518273,34698,51,3571940,69683
2020,湖北省,襄阳市,420000,420600,东南侧,46020000,84773,,108.338,,,44,3468640,78512
2021,湖北省,襄阳市,420000,420600,东南侧,53090000,100824,587,,,,46,3704176,80701
2022,湖北省,襄阳市,420000,420600,东南侧,58280000,110510,585,50.17,,,47,3938887,
2023,湖北省,襄阳市,420000,420600,东南侧,58430000,110719,,,,,,,
2024,湖北省,襄阳市,420000,420600,东南侧,61020000,115596,,,,,,,
2000,湖北省,鄂州市,420000,420700,东南侧,905531,,102.27,14.39,,16800,14,96808,6837
2001,湖北省,鄂州市,420000,420700,东南侧,1013900,9857,103.3,14.01,,17700,14,99900,7265.45
2002,湖北省,鄂州市,420000,420700,东南侧,1113400,10627,103.64,14.02,54786,18700,14,104926,7647.67
2003,湖北省,鄂州市,420000,420700,东南侧,1257000,12066,104.33,14.26,55000,26403,14,112181,8242.54
